song_base,artist_canon,artist_name_has_spanish_char,artist_name_has_spanish_word,title_has_en_vivo,title_has_con_feat,genius_annotation_count,genius_pageviews
stressed,young thug with j. cole and t-shyne,0,0,0,0,,
rich n a shit,young thug with juice wrld,0,0,0,0,,
yonaguni,bad bunny,0,0,0,0,7.0,1331830.0
champagne poetry,drake,0,0,0,0,27.0,861001.0
let somebody go,coldplay x selena gomez,0,0,0,0,,
you time,scotty mccreery,0,0,0,0,0.0,
peepin out the window,young thug with future and bslime,0,0,0,0,3.0,56908.0
woo baby,pop smoke featuring chris brown,0,0,0,0,10.0,250619.0
flocky flocky,don toliver featuring travis scott,0,0,0,0,7.0,157059.0
peaches,justin bieber featuring daniel caesar and giveon,0,0,0,0,,
todo de ti,rauw alejandro,0,0,0,0,4.0,313320.0
drinkin' beer talkin' god amen,chase rice featuring florida georgia line,0,0,0,0,0.0,
your heart,joyner lucas and j. cole,0,0,0,0,,
summer of love,shawn mendes and tainy,0,0,0,0,,
waves,luke bryan,0,0,0,0,0.0,6803.0
life support,youngboy never broke again,0,0,0,0,8.0,233403.0
bad morning,youngboy never broke again,0,0,0,0,16.0,116149.0
intro,meek mill,0,0,0,0,17.0,285737.0
drunk,elle king and miranda lambert,0,0,0,0,,
butter,bts,0,0,0,0,13.0,3632561.0
hot,meek mill featuring moneybagg yo,0,0,0,0,,
expensive pain,meek mill,0,0,0,0,16.0,62016.0
on my soul,meek mill,0,0,0,0,2.0,39427.0
blue note ii,meek mill featuring lil uzi vert,0,0,0,0,,
outside,meek mill,0,0,0,0,2.0,33657.0
last one standing,"skylar grey, polo g, mozzy and eminem",0,0,0,0,,
the feels,twice,0,0,0,0,1.0,475786.0
me,meek mill featuring a$ap ferg,0,0,0,0,,
love train,meek mill,0,0,0,0,5.0,55984.0
feelin like tunechi,lil wayne featuring rich the kid,0,0,0,0,,
ride for you,meek mill featuring kehlani,0,0,0,0,2.0,31581.0
tsu,drake,0,0,0,0,21.0,914659.0
love all,drake featuring jay-z,0,0,0,0,15.0,799809.0
no where,youngboy never broke again,0,0,0,0,4.0,91031.0
on my side,youngboy never broke again,0,0,0,0,4.0,18462.0
things a man oughta know,lainey wilson,0,0,0,0,1.0,46044.0
hold me down,youngboy never broke again,0,0,0,0,6.0,45694.0
50 shots,youngboy never broke again,0,0,0,0,6.0,44174.0
smoke strong,youngboy never broke again,0,0,0,0,8.0,36477.0
break or make me,youngboy never broke again,0,0,0,0,2.0,86728.0
sincerely,youngboy never broke again,0,0,0,0,5.0,75399.0
i can't take it back,youngboy never broke again,0,0,0,0,10.0,64074.0
rumors,lizzo featuring cardi b,0,0,0,0,,
forgiato,youngboy never broke again,0,0,0,0,5.0,46719.0
rich shit,youngboy never broke again,0,0,0,0,1.0,9641.0
n 2 deep,drake featuring future,0,0,0,0,7.0,554378.0
baddest thing,youngboy never broke again,0,0,0,0,12.0,57041.0
pipe down,drake,0,0,0,0,11.0,533665.0
papi's home,drake,0,0,0,0,16.0,531179.0
toxic punk,youngboy never broke again,0,0,0,0,5.0,82172.0
moon,kanye west,0,0,0,0,9.0,1111497.0
wildest dreams,taylor swift,0,0,0,0,12.0,1080485.0
arcade,duncan laurence,0,0,0,0,5.0,942413.0
scoop,lil nas x featuring doja cat,0,0,0,0,,
dolla sign slime,lil nas x featuring megan thee stallion,0,0,0,0,13.0,149650.0
lonely,dababy x lil wayne,0,0,0,0,,
dead right now,lil nas x,0,0,0,0,18.0,186658.0
tales of dominica,lil nas x,0,0,0,0,5.0,151943.0
