song_base,artist_canon,genius_full_title,genius_primary_artist,match_score_num,genius_url
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
lights down low,max featuring gnash,Lights Down Low (Remix) by MAX (Ft. gnash),MAX,0.6333333333333333,https://genius.com/Max-lights-down-low-remix-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
rake it up,yo gotti featuring nicki minaj,Rake It Up by Yo Gotti (Ft. Nicki Minaj),Yo Gotti,0.6333333333333333,https://genius.com/Yo-gotti-rake-it-up-lyrics
make me proud,drake featuring nicki minaj,Make Me Proud by Drake (Ft. Nicki Minaj),Drake,0.6333333333333333,https://genius.com/Drake-make-me-proud-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
f k you,ceelo green,F**k You (Le Castle Vania Remix) by CeeLo Green & Le Castle Vania,CeeLo Green,0.6333333333333333,https://genius.com/Ceelo-green-and-le-castle-vania-fk-you-le-castle-vania-remix-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
the take,tory lanez featuring chris brown,The Take by Tory Lanez (Ft. Chris Brown),Tory Lanez,0.6333333333333333,https://genius.com/Tory-lanez-the-take-lyrics
glorious,macklemore featuring skylar grey,Glorious by Macklemore (Ft. Skylar Grey),Macklemore,0.6333333333333333,https://genius.com/Macklemore-glorious-lyrics
blame,calvin harris featuring john newman,Blame by Calvin Harris (Ft. John Newman),Calvin Harris,0.6333333333333333,https://genius.com/Calvin-harris-blame-lyrics
